task_ID,paper_ID,User Task,Visualisation Tools/Technique,How User Carries Out Task,"Task Type (network, geospatial, temporal, neither, all)",Geo_Modifier,Rule,Archetype,WHY Details,Why L1 Action,Why L2 Action,Why L3 Action,HOW Encode,HOW Manipulate (Interactive),HOW Facet (Dashboards/Multiple Views),HOW Reduce (Large datasets),Animation,Colour,Fill (Coverage),Orientation,Position,Saturation/Luminance,Shape,Size,Text,Texture,What Cat.,What Subcat.
T101,mikkelsen2011,Access detailed device information on demand,Coordinated detail view linked to SLD selections,Users select a device on the SLD and the detail view automatically updates to show information about selected device. Information displayed includes device properties and status values. Selection of different devices updates the detail view accordingly.,Network,No Geo,R4,A1,Get comprehensive information about specific devices when needed,Query,Identify,,"Coordinated detail view that updates based on selection in SLD or overview; Detailed information panel/view
Tabular layout for properties
colour coding for states
Numerical displays for values","Click/select device for details
Details-on-demand interaction","Coordinated detail view
Updates based on selection
Maintains context with SLD","Show only selected device
Progressive disclosure of details
Categorized information groups",,"Value states (green=normal, yellow=warning, red=violation)
Background shading for categories",,,"Separate detail panel location
Tabular arrangement of properties
Consistent positioning for quick scanning",,,,,,Topology-Based,Adjacency - Direct Connection
T102,mitsui1997,Evaluate voltage profile of complete network,"Colour scale method with HIS colour gradation system on single-line diagram (green-blue for normal range, yellow-orange for low violations, cyan for high violations)","Users view buses coloured by voltage level on single-line diagram and can scan the colour distribution across the network. Green to blue gradient indicates normal operating voltages (0.95-1.05 p.u.) with violation colours, yellow/orange or cyan.",Geospatial + Network,Geo,Other,Other,Understand the general state of voltage distribution across the power system,Analyse,Consume,Discover,"colour gradation representing voltage ranges (green-blue for normal, yellow-orange for low violations, cyan for high violations)",,,,,"Green, Dark green, Blue",,,Bus locations on one-line,Deviation intensity,,Constant bus symbols,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T103,mitsui1997,Identify voltage violations (both high and low),"Colour-coded violations (yellow/orange for low, cyan for high on dark background) on single-line diagram","Users scan for yellow/orange (low voltage) or cyan (high voltage) coloured buses over dark background colour  to help highlight violation buses, where the intensity for normal voltages is kept lower than for violations. Yellow/orange colours indicate low voltage violations. Cyan/pale cyan colours indicate high voltage violations. Higher intensity (brightness) indicates more severe violations.",Geospatial + Network,Geo,R3,A4,Spot operational problems requiring immediate attention,Search,Locate,,High intensity colours for violations against dark background,,"Normal range: Green-blue gradient
Low violations: Yellow-orange range
High violations: Cyan range","Visual emphasis on violations only
Normal buses blend into background",,"Yellow/Orange for low violations
Cyan/Pale cyan for high violations",,,,"Brighter colours for violations, More intense for severe violations",,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T104,mitsui1997,Count voltage violation nodes,Colour scale with distinct violation colours on nodes on single-line diagram,"Users visually scan the network diagram and count buses with violation colours-Count all nodes displaying yellow/orange colours (low violations), Count all nodes displaying cyan colours (high violations). Small bus size allows more buses to be displayed simultaneously.",Network,No Geo,R5,A5,Quantify the extent of voltage problems in the system,Query,Summarise,,Distinct violation colours for counting,,,"colour grouping for easier counting
Pre-attentive processing reduces cognitive load",,Distinct colours for easy counting,,,,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T105,mitsui1997,Compare voltages between specific nodes,Colour gradation indicating voltage magnitude with hue-based colour differences between nodes on single-line diagram,Users compare colour differences between specific buses by locating the two nodes of interest on the diagram. Greater hue difference indicates larger voltage difference and similar colours indicate similar voltages.,Geospatial + Network,Geo,R2,A2,Identify voltage differences between buses,Query,Compare,,Hue differences to represent voltage differences,"User visually traces between nodes
Mental comparison of colours",,,,"Perceptual difference = voltage difference, Smooth transitions for small differences",,,,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T106,mitsui1997,Distinguish between high and low voltage violations,Distinct colour ranges for different violation types on single-line diagram,"Users identify violation nodes by their bright intensity: Yellow/orange spectrum = low voltage violations, Cyan/pale cyan spectrum = high voltage violations. More yellow/white indicates more severe violations.",Network,No Geo,Other,Other,Differentiate types of violations with different urgencies,Query,Identify,,"Different colour ranges - yellow/orange for low violations, cyan/pale cyan for high violations",,"Warm spectrum = low violations
Cool spectrum = high violations
Perceptually separate colour spaces",,,"Warm colours (yellow/orange) = low voltage
Cool colours (cyan) = high voltage",,,,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T107,mitsui1997,Identify voltage patterns in the power system,Spatial colour patterns across the network topology on single-line diagram,Users view the overall network diagram and observe colour patterns and gradients across the topology to identify regions with similar colours (similar voltages).,Geospatial + Network,Geo,Other,Other,Recognise spatial patterns of voltage distribution,Analyse,Consume,Discover,Continuous colour mapping visible across the single-line diagram,,,"colour gradients simplify individual values
Pattern emerges from aggregated colour regions
Details reduced to overall trends",,"Smooth transitions show patterns, Similar voltages have similar colours",,,Nearby buses show regional patterns,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T108,mitsui1997,Spot clusters of buses with similar voltages,Visual clustering of similar colours in network regions,Users scan the network diagram for areas with uniform colouring to identify geographical or topological regions with similar hues and recognise groups of buses with similar voltage conditions. Groups of buses with similar voltages appear in close proximity in real systems.,Geospatial + Network,Geo,Other,Other,Identify areas with uniform voltage conditions,Search,Browse,,"Visual clustering of similar colours in proximity,  colour similarity indicates voltage similarity",,,"Similar colours automatically group
Individual buses merge into regions
Cognitive reduction through Gestalt principles",,Same colour = similar voltage,Extent of similar coloured regions,,Adjacent buses with same colour,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T109,mota2007,Visualise Power System Restoration Plans,CPM/PERT graphs with nodes and arcs where critical activities highlighted in graph,"Users view directed graph with activities as arcs and stages as nodes; ""The proposed approach for 1) representing and 2) visualizing these plans using CPM/PERT graphs can be summarized as follows"" (p. 1324), Users see critical activities marked (A, B, C, D, E, F, G, O, and P), Users see plan broken down into graph elements.",Network + Temporal,No Geo,R1,A3,Show restoration plan structure graphically,Analyse,Consume,Present,"Node-link diagram using CPM/PERT graph layout; Express: Directed node-link diagram
Arrange: Force-directed layout with Java-based GUI",Interactive dragging of nodes mentioned,,,,,,,2D spatial layout,,"Circles for nodes, arrows for directed edges",,Activity labels on nodes,,Browsing,Follow Path
T110,mota2007,Follow the Restoration Process During Execution,Visual representation of directed graph structure with current status,"Users track progress through the graph during execution; ""the graphical visualisation can be used to develop friendly interfaces that allow the operators to graphically follow the restoration plan timeline"" (p. 1329); Users trace connections between nodes showing dependencies; ""the graph model can be used to infer the precedence relations among reenergization actions"" (p. 1329).",Network + Temporal,No Geo,R1,A3,Track progress through the plan,Analyse,Consume,Discover,"Navigate through highlighted paths in the node-link diagram; Express: Directed graph with highlighting
Map: Status to visual emphasis",,,Filter: Focus on current execution path,,Distinguish completed vs. pending activities,,,Same as base diagram,,,,,,Topology-Based,Accessibility - Direct/Indirect Connection
T111,mota2007,Evaluate Restoration Duration and Critical Path,CPM/PERT calculations displayed on graph,"Users identify critical path and time parameters; ""critical path (formed by the actions that do not allow any delays without causing impacts in the plan duration)"" (p. 1329).",Network + Temporal,No Geo,R1,A3,Identify critical activities and total duration,Analyse,Produce,Derive,"Path analysis with visual highlighting of critical path; Express: Path highlighting on network
Map: Criticality to visual prominence",,,Filter: Emphasize critical path over other paths,,,,,,Critical path emphasized (darker/highlighted),,Critical path shown with thicker lines,Duration values displayed,,Overview,Overview for Comparison/Verification
T112,mota2007,Infer Precedence Relations Among Reenergization Actions,Graph generation algorithm,"Users see plan broken down into graph elements; ""The association of activities and restoration stages to the arcs and nodes of a CPM/PERT graph"" (p. 1323).",Network + Temporal,No Geo,R1,A3,Understand dependencies,Analyse,Consume,Discover,"Trace paths through directed graph structure; Express: Directed node-link diagram
Order: Left-to-right flow showing temporal sequence",Navigate: Trace paths through network,,Navigate: Focus on specific precedence chains,,,,Arrow direction: Shows precedence flow,Spatial arrangement suggests temporal order,,,,,,Topology-Based,Accessibility - Direct/Indirect Connection
T113,mota2007,Visualise Changes in Original Plan Due to Unexpected Occurrences,Alternative CPM/PERT graph,"Users compare different graph structures; ""Graphically, it is possible to detect almost immediately that the second plan possesses more chained sequential activities"" (p. 1328).",Network + Temporal,No Geo,R1,A3,Identify differences between plans,Analyse,Consume,Discover,"Visual comparison of different graph layouts; Juxtapose: Side-by-side comparison (Figs. 13 and 15)
Express: Two separate CPM/PERT graphs",,Juxtapose: Original and modified plans shown separately,,,,,,Spatial arrangement differs between versions,,,,,,Overview,Overview for Comparison/Verification
T114,overbye2000,Assess the state of the power system quickly, Animated arrows on one-line diagram,Users observe arrow direction for flow direction and arrow size for magnitude on transmission lines on the one-line diagram. Animation rates >10 times per second allow dynamic viewing. Use of panning and zooming with conditional display allows the user to study flows in large systems.,Network,No Geo,R5,A5,Monitor system status and identify potential problems,Analyse,Consume,Discover,Animated arrows on lines showing flow direction and magnitude,Animate (>10 frames/second),Single coordinated view,Overview first with zoom/pan capability,Animation shows dynamic changes,,,Arrow orientation ? flow direction,Geographic layout preserved,,,Arrow size = flow magnitude,,,Overview,General Overview
T115,overbye2000,Identify overloaded transmission lines,Dynamically sized pie-charts with colour coding on transmission lines,"Users identify enlarged pie-charts (5x at 70%, 7x at 80% loading) to spot overloaded lines on one-line diagram. Size and colour change when loading exceeds thresholds (e.g., 5x size at 70%, 7x at 80%). Quickly scan for enlarged pie-charts to identify heavily loaded lines.",Network,No Geo,R3,A4,Determine congestion and overload conditions,Search,Locate,,"Dynamically sized pie-charts on lines, with size and colour indicating loading levels",Dynamic sizing based on thresholds,Superimposed on network view,,,Loading severity levels,Percentage fill = loading percentage,,Centered on transmission lines,,,"Pie-chart radius (5x at 70%, 7x at 80%)",,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T116,overbye2000,Visualise power flow directions throughout the system,Animated flow arrows on one-line diagram,"Users view one-line diagram of transmission grid where small arrows appear on each transmission line, arrow points in direction of MW flow, arrow size proportional to MW flow magnitude and animation makes system appear to ""come to life"".",Network,No Geo,Other,Other,Understand how power is flowing across the grid,Analyse,Consume,Discover,Animated arrows with size proportional to flow magnitude,Real-time animation,Single geographic view,,"Animation creates ""flow"" effect; Animation rate = flow intensity",,,Arrow pointing,,,,Arrow length/width ? flow magnitude,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T117,overbye2000,Analyse voltage profiles across regions,Voltage magnitude contouring at buses with colour mapping overlaid on geographic network map,"Users examine colour-coded contour map on geographic one-line diagram where blue indicates lower voltages and red indicates higher voltages. This encoding identifies patterns and voltage problem areas through colour gradients where the user can adjust colour mapping to highlight only violations (e.g., voltages below 0.98 p.u.).",Geospatial + Network,Geo,Other,Other,Find voltage violations and assess voltage security,Search,Browse,,Colour contours overlaid on geographic/schematic network,Interpolation between points,Layered on network,Filter by voltage level,,Blue (low) to Red (high),,,,"Violation severity,Continuous gradients: Smooth transitions",,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T118,overbye2000,Identify areas affected by transmission constraints,Geographic contour showing percentage of blocked power transfer (flowgate) on network map,Users identify shaded utilities and contour percentages to understand market constraints. Contour values show percentage of power transfer flowing through constrained devices where users can identify which utilities/areas cannot sell power due to constraints. Different shading indicates impact from different overloaded devices.,Geospatial + Network,Geo,Other,Other,Understand economic impact of overloads on power transfers,Analyse,Consume,Derive,Contours showing percentage of power transfer flowing through constrained devices,Threshold-based display,Geographic overlay,,,PTDF percentage,Affected regions,,,,,,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T119,overbye2000,Assess electricity market prices across locations,Price contouring on geographic network map,Users view contoured price data (LMP contour) overlaid on network map to identify price variations due to transmission constraints. Colour gradients show price variations across the market where users can identify high-price areas (transmission constraints and compare prices between different regions.,Geospatial + Network,Geo,R5,A5,Assess price variations and identify transmission constraints affecting prices,Analyse,Consume,Present,Colour contours on network map,colour mapping for price ranges,Geographic market view,,,Price magnitude,,,,"Price extremes, Smooth gradients: Price transitions",,,,,Overview,Overview with Monitoring/Tracking
T120,overbye2000,Monitor multiple system variables simultaneously,3D virtual environment of one-line diagram with multiple encodings using the vertical dimension for additional variables,"Users navigate 3D environment viewing multiple variables through different visual encodings, e.g. traditional one-line in xy-plane with 3D perspective. Generators represented as cylinders extending in z-direction. Cylinder height proportional to variable (e.g., reactive power). Dark region shows current output, light region shows reserves. Users can rotate/navigate 3D view to examine relationships.",Network,No Geo,R5,A5,Understand correlations between different system parameters,Analyse,Consume,Derive,"3D visualisation with height representing one variable, position showing network topology",Interactive 3D navigation,Multiple data dimensions,,,Variable type or severity,,,,,Cylinders for generators,,,,Overview,Overview with Monitoring/Tracking
T121,overbye2000,Identify heavily loaded lines while viewing power transfers,3D cylinders with height encoding and colour segmentation( PTDF contours) on network,"Users observe cylinder heights for capacity and colour segments (dark=output, light=reserves) and view network with PTDF contours showing transfer impacts. Heavily loaded lines displayed as 3D cylinders where the cylinder height/size indicates loading level. Users can also simultaneously assess transfer path and potential congestion points.",Network,No Geo,Other,Other,Determine if proposed transactions will encounter congestion,Analyse,Consume,Derive,3D cylinders for loaded lines combined with PTDF contours,Dual encoding,Integrated view,,,PTDF values,,,,Non-critical elements,,"Loading level, Loading severity",,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T122,overbye2000,Assess Available Transmission Capacity (ATC),Combined contour (ATC) and 3D height (generation reserves),Users examine network map contoured ATC values while simultaneously viewing area heights for generation reserves. Assess both transmission capability and generation availability simultaneously to identify areas with adequate ATC but insufficient generation (or vice versa).,Geospatial + Network,Geo,Other,Other,Understand transmission capability for market transactions,Query,Identify,,Contours for ATC with 3D height showing generation reserves,Dual variable encoding,Market area view,,,"ATC values, Capacity levels",,,,,Market zones,Generation reserves,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T123,romerogomez2016,Identify Grid Areas with Critical Alarm Concentrations,"The general workflow of the Alarm Trend Catcher interface is  top-left to bottom-right. Through the Radial View, an operator selects single or a combination of periods of time in order to focus on an alarm subset of interest. Then, this selection displays further alarm details across the different views. The Trends View displays an arrangement of stacked area graphs represent the alarm activity rates, with priority distribution, according to different alarm types.  The List View shows an ordered list of the selected subset of alarms. The Geographical View maps such alarms selection onto the actual grid map. 
Heat map encoding: Gray scale colouring where darker colours indicate higher alarm activity","Users select single or a combination of periods of time in order to focus on an alarm subset of interest. The Radial View is a circle divided into sectors, each representing a geographical grid area (configurable through settings panel). Darker coloured time slots in sectors indicate higher alarm concentrations. User can click on sectors/time periods to see details in coordinated views. Geographical view maps selected alarms to physical grid locations. User identifies which sector (grid area) has the darkest colouring pattern.",Geospatial + Network,Geo,R3,A4,Determine which geographical areas of the grid require immediate operational attention,Search,Locate,,"Radial sectors representing geographical areas with heat map colouring for alarm density, geographical view mapping alarms to grid resources, Radial sectors + geographic map points","Navigate: Between radial and geographic views
Select: Click sector to highlight in geographic view
Change: Adjust number of sectors via settings",Coordinate: Selection in radial ? highlight in geographic,"Aggregate: Sum alarms by geographic area
Embed: Abstract sectors represent real geography",,,,,Geographic area mapping,"Alarm volume (heat map gradient), Higher saturation = more alarms",,,,,Overview,Overview with Monitoring/Tracking
T124,romerogomez2016,Identify Time Periods with High-Priority Alarms,"Radial View with bargrams: Inner display space shows priority distribution using rectilinear bargrams
Three-colour priority scale: Red (high), yellow (medium), green (low) following EEMUA 191 standard
Temporal encoding: Time flows clockwise along arc axis and outward on radial axis",Users examine the inner part of each radial arc which displays cumulative priority distribution. Bargrams show colour-coded priority levels for each time period. User scans clockwise through time slots looking for periods with red (high-priority) bars. Black-coloured frame highlights current minute for reference. User can select specific time periods to see detailed alarm lists in List View.,Network + Temporal,No Geo,R1,A3,Prioritise response to critical alarms requiring urgent attention during specific time periods,Search,Browse,,"Radial arcs representing time slots with bargrams showing colour-coded priority levels (red for high, yellow for medium, green for low), Mark: Bargrams in inner radial space","Navigate: Scan clockwise through time
Select: Click time slots for detailed list
Change: Adjust arc/radial time scales",Superimpose: Bargrams within heat map,"Aggregate: Cumulative priority per time slot
Filter: Visual emphasis on red (high) priority",,Red/Yellow/Green (EEMUA 191 standard),,,"Angular position: Time progression (clockwise)
Radial position: Time age (inner = older)",,,Height: Proportion of priority level,,,Overview,Overview with Monitoring/Tracking
T125,romerogomez2016,Determine Alarm Type Distribution,"Trends View: Multiple stacked area graphs showing alarm activity rates
Small multiples approach: Separate graph for each alarm type
Coordinated views: Selection in radial view updates trends view","Users first select time period(s) of interest in the radial view by clicking. Selection is highlighted with saturated black-coloured frame. Trends View automatically updates to show stacked area graphs for selected period. Each graph represents different alarm type with priority distribution (using same red/yellow/green coding). User reads alarm type labels and observes which types dominate in high-priority (red) areas. Vertical axis shows number of alarm activations, horizontal axis shows time.",Network,No Geo,R5,A5,Identify types of high-priority alarms for appropriate operational response,Analyse,Consume,Discover,"Trends view with stacked area graphs showing alarm activity rates by type and priority, Mark: Stacked area graphs in trends view","Navigate: Between different alarm types
Select: Time periods in radial to update trends
Change: Compare multiple selections","Small multiples: One graph per alarm type
Coordinate: Radial selection ? trends update","Aggregate: Stack priorities within types
Filter: Focus on selected time periods",,Priority levels (stacked),,,"Time on x-axis, count on y-axis",,,Height: Alarm count/rate,,,Overview,Overview with Monitoring/Tracking
T126,sherpa2024,Monitor Line Hosting Capacity to Prevent Overloading,"DIgSILENT PowerFactory software with integrated GIS model
Colour-coded line representation with graduated colour scale
Real-time data updates every 5 minutes from smart meters","Users view the GIS map display to identify lines approaching capacity limits where colour indices/legend on map shows meaning of colours (0-100% scale). Line loading percentages are calculated (shown in Table IV ranging from 88-98.8%) and automatically colour-coded based on loading percentage: Green shades for lower loading, Yellow/orange for medium loading and Red for high loading (approaching 100%).",Geospatial + Network,Geo,Other,Other,Ensure lines operate within acceptable loading limits to prevent system violations,Analyse,Consume,Discover,"Colour-coded lines on GIS map with colour indices showing loading ranges (0-100%), Lines on geographic map","Navigate: Pan/zoom on GIS map (implied)
Select: Visual inspection of coloured lines
Change: Updates every 5 minutes with new data",,"Filter: colour emphasis on critical loading levels
Embed: Focus on main transmission lines (345/745 kV mentioned)",,"Gradient encoding loading percentage
Green: Low loading
Yellow/Orange: Medium loading
Red: High loading (approaching 100%)",,,Geographic line routes,,,,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T127,sherpa2024,Monitor Voltage Profile Across Network Nodes,"DIgSILENT PowerFactory model with real-time GIS integration of distribution model with colour-coded node/bus
Voltage range indicators with specific colour mapping","Users examine geographical map to identify nodes with voltage deviations: 1 p.u. (normal voltage), 0.95-0.99 p.u. (acceptable range shown in different colours), Below 0.95 p.u. (voltage violation - likely red). Values below 0.95 p.u. or above 1.05 p.u. are highlighted. User observes integrated view combining sensor data, load flow results, and geographic layout updated every 5 minutes.",Geospatial + Network,Geo,R3,A4,Identify voltage deviations to maintain power quality within acceptable ranges,Search,Locate,,"Colour-coded nodes on geographical map with voltage range indicators, Mark: Points (nodes) on geographic map","Navigate: Visual scanning of map
Select: Not specified for direct interaction
Change: Automatic updates with load flow calculations",Juxtapose: Peak and off-peak scenarios compared (Tables),"Aggregate: Only 5 meters provide real data; others use survey data
Filter: Focus on buses with deviations",,"Voltage magnitude mapping
Normal (1.0 p.u.): Green/acceptable colour
Deviation levels: colour gradient based on p.u. value
Range shown: 0.95-1.0 p.u.",,,Geographic bus locations,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T128,shrestha2024,Monitor real-time Distribution System Status,Geographic open street map as base layer with colour-coded buses and lines streaming real-time data pipeline with auto-refresh mechanism updating every minute,"Users see network status updated every minute based on smart meter measurements. System automatically collects data from 5 smart meters every minute via MQTT Python program processes data and performs Newton-Raphson power flow calculations. HTML file auto-refreshes showing latest network status. User monitors the continuously updating display showing: Current network topology on geographic map, Real-time status through colour coding and the most recent measurements from smart meters. No manual intervention required for updates.",Geospatial + Network,Geo,R5,A5,Enhance situational awareness for distribution system operators and utilities,Analyse,Consume,Present,"Interactive geographical map with auto-refresh displaying latest grid status with colour-coded elements, Composite map view (points + lines)","Navigate: Interactive map controls
Select: Not specified for this task
Change: Automatic updates via HTML auto-refresh",,"Aggregate: Smart meter data aggregated to 3-phase totals
Sample: 1-minute sampling rate from continuous measurements",Auto-refresh showing state changes,"Dynamic updates reflecting current state. Voltage: Green (1.0 p.u.),  Yellow (0.95 p.u.), Red (<0.9 p.u.)
Loading: Blue (0%), Green, Yellow, Red (100%)",,,Fixed geographic layout,Intensity indicates severity,,,,,Overview,Overview with Monitoring/Tracking
T129,shrestha2024,Identify critical network points,Colour-coded (gradients for encoding severity) geographical visualisation using Python-based platform using PyPSA library for power flow calculations and Folium library for geographic visualisation,"Users visually scan map for buses/lines with colours indicating abnormal conditions based on legends. Map displays network with colour-coded elements: Buses: colours determined by voltage magnitude deviation from 1.0 p.u. (legends shown on right), Lines: colours vary based on percentage loading (Red/orange lines indicating high loading). Map auto-refreshes every minute with latest data.",Geospatial + Network,Geo,R3,A4,Identify overloaded lines and buses with abnormal voltage magnitudes to assist in better decision-making,Search,Locate,,"Geographic map with colour-coded lines (based on loading) and buses (based on voltage magnitude), Points (circular bus icons), Lines (connections)","Navigate: Zoom and pan on Folium map
Select: Click buses for details
Change: Auto-refresh every minute",,"Filter: Visual emphasis on critical values through colour
Embed: Only 5 meters provide real-time data; others use static values",,"Buses: Gradient based on voltage deviation from 1.0 p.u., Lines: Gradient based on loading percentage (0-100%). Voltage: Green (1.0 p.u.), Yellow (0.95 p.u.), Red (<0.9 p.u.)
Loading: Blue (0%), Green, Yellow, Red (100%)",,,Geographic coordinates on map,,Uniform line width,,,,Topology-Based,Adjacency - Direct Connection
T130,shrestha2024,Obtain Detailed Bus and Line Information for Operational Analysis,"Interactive Folium map with popup boxes for bus information, hover tooltips for line information and zoom and pan capabilities","Users click on buses to see popup boxes displaying bus name/ID (e.g., ""LVB9""), per unit voltage magnitude and voltage phase angle in degrees (Fig. 6).  Users hover mouse over lines to view line ID (e.g., ""Line35_42""), active/reactive power and percentage loading (Fig. 7). For Detailed Section Analysis, users can zoom in using mouse scroll or zoom controls, pan by clicking and dragging the map which allows focus on specific areas of the 53-bus network.",Geospatial + Network,Geo,Other,Other,Access specific parameter values for operational analysis and monitoring,Search,Lookup,,"Interactive elements - popup boxes for buses on click, hover display for lines, Interactive overlays (popup/tooltip)","Navigate: Mouse movement for hovering
Select: Click for buses, hover for lines
Change: Values update with each refresh cycle",Superimpose: Details overlay on base map,"Filter: Show only selected element's details
Details-on-demand: Hidden until interaction",,Semi-transparent overlay boxes,,,Popups appear at clicked/hovered location,,,,"Numerical values in popups/tooltips, Typology: Labels and values differentiated",,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T131,song2011,Identify Unstable Contingencies and Causes of Instability,Data visualisation interface built with Visual C++ using gradation method and generator instability algorithm,"Users import PSS/e or TSAT dynamic simulation data (.dat file format). System automatically applies generator instability algorithm that checks if rotor angle exceeds 90. Generator icons on geographic map change colour based on angle deviation: Green when angle = 0, Gradually changes to red as angle approaches 90, Stronger red shades indicate severity of instability. Algorithm distinguishes between: Red: Generator diverging (unstable), Yellow: Generator with stable swing but angle >90. User observes colour-coded map to immediately identify unstable generators.",All,Geo,R1,A3,Quickly classify unstable contingencies and identify causes of instability to prevent blackouts,Analyse,Consume,Discover,"Geographic map with colour-coded generator icons using gradation method (green to red based on angle deviation), Mark: Points (circular generator icons)","Navigate: Pan/zoom on geographic map
Select: Click generators for detailed information
Change: Control play bar for temporal navigation","Multiple views: Geographic map + time plots + tabular list
Coordinated views: Selection in one updates others","Filter: Algorithm filters stable vs unstable generators
Aggregate: Not explicitly used for single contingency",,"Gradation from green (0) to red (90) for rotor angle, Red (diverging), Yellow (stable swing >90)",,,Geographic coordinates on map,Severity of instability,,,,,Topology-Based,Connectivity
T132,song2011,Identify Generators Operating Outside Safe Frequency Ranges,Gradation method based on IEC 60034-3 standard thresholds,"Users identify at-risk generators by colour on the map. Generator icons automatically change colour: Green: Normal operating range, Red gradations: Restricted time operating range, Black: Immediately inoperable (>61.8 Hz or <57 Hz). Tabular dialog displays exact frequency values and violation times. List table provides sorting function by time or rank order.",Geospatial + Network,Geo,R3,A4,Prevent equipment damage from abnormal frequency operations,Search,Locate,,"Gradation colouring on geographic map (red for restricted range, black for inoperable frequencies), oints (generator icons)","Navigate: Visual scanning of map
Select: Click for exact frequency values
Change: Update with new simulation data",Superimpose: Frequency and angle views on same map,"Filter: Highlight only out-of-range generators
Embed: Focus on violations rather than all values",,"Different colours for frequency ranges, Black: Inoperable frequencies
Red gradations: Restricted operation
Green: Normal range",,,Geographic location,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T133,song2011,Identify stable and unstable generators for contingency case," 3D cylindrical bar visualisation for each unstable generator using gray colouring on geographic display. The height of the bar is determined by the number of times that the generator has diverged (weakly connected to system, less damping) or is unstable.","Users identify problematic generators by bar height. Bar height represents number of times generator was unstable: Red bars: Times generator diverged, Yellow bars: Times generator had stable swing >90. Generator icons change colour based on rotor angle values - red when approaching 90 degrees, with stronger shades indicating severity. Gray generator icons indicate disconnected/out-of-service status. User loads batch of files for multiple contingency cases (N-1, N-2, N-3). System processes all cases and counts instability occurrences per generato3D cylindrical bars appear to the right of generator locations on map.",Geospatial + Network,Geo,Other,Other,Determine which generators need improved damping characteristics for more stable system operation,Analyse,Produce,Derive,"3D cylindrical bars at generator locations with height representing instability frequency, 3D bars positioned at generator locations","Navigate: Rotate/zoom 3D view (implied)
Select: Individual bars for details
Change: Filter by contingency type",Juxtapose: Side-by-side bars for red/yellow categories,"Aggregate: Sum instabilities across all contingencies
Filter: Only show generators with instabilities",,"Red (diverged), Yellow (stable swing >90)",,,Geographic generator location,,,"Height: Frequency of instability (number of times unstable), (3D): Bar height encodes count",,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T134,song2011,Observe Disturbance Propagation Through the System,Movie-like animation with control play bar,"Users use control play bar at the bottom of the interface with play/pause/step controls to animate the simulation. System updates generator colours at each time step via OnTimer() function User can: Pause at specific time points to analyse, use STEP button for detailed observation (advances 5 cycles at a time) or drag slider to jump to specific times and replay simulation multiple times. Animation shows how disturbance spreads geographically. Users can comprehensively observe the response of the generator buses to the disturbance, move to the specific time step that we want to monitor, and retrieve the required data. User loads simulation data for specific fault scenario.",All,Geo,R1,A3,Understand how faults affect and propagate through the system for better emergency response,Analyse,Consume,Present,"Animated geographic map with control play bar showing temporal evolution, Points (generators) on map","Navigate: Play/pause/step controls
Select: STEP button (5 cycles forward)
Change: Animation speed, time slider","Partition: Time windows (1s, 1.5s snapshots shown)","Filter: Focus on event window
Sample: Display at discrete time intervals","Animation showing temporal progression, Play bar position","Changes over time (green, yellow, red)",,,Fixed geographic locations,,,,,,Topology-Based,Accessibility - Direct/Indirect Connection
